2024-10-16 11:34:36,531:INFO:Connected to the database.
2024-10-16 11:34:36,533:INFO:Read CSV with 23 records.
2024-10-16 11:34:36,533:INFO:Columns in CSV: ['image_file', 'label', 'bbox_x_min', 'bbox_y_min', 'bbox_width', 'bbox_height', 'image_width', 'image_height']
2024-10-16 11:34:36,539:INFO:Inserted row: {'image_file': 'photo_2024-10-16_09-49-58 (3).jpg', 'label': 'milk', 'bbox_x_min': 20, 'bbox_y_min': 4, 'bbox_width': 430, 'bbox_height': 492, 'image_width': 500, 'image_height': 500}
2024-10-16 11:34:36,539:INFO:Inserted row: {'image_file': 'photo_2024-10-16_09-49-54.jpg', 'label': 'logo', 'bbox_x_min': 16, 'bbox_y_min': 13, 'bbox_width': 189, 'bbox_height': 161, 'image_width': 1080, 'image_height': 1080}
2024-10-16 11:34:36,539:INFO:Inserted row: {'image_file': 'photo_2024-10-16_09-49-52 (1).jpg', 'label': 'medicine', 'bbox_x_min': 101, 'bbox_y_min': 317, 'bbox_width': 892, 'bbox_height': 379, 'image_width': 1080, 'image_height': 1080}
2024-10-16 11:34:36,540:INFO:Inserted row: {'image_file': 'photo_2024-10-16_09-49-54 (2).jpg', 'label': 'medicine', 'bbox_x_min': 15, 'bbox_y_min': 205, 'bbox_width': 483, 'bbox_height': 491, 'image_width': 1080, 'image_height': 1080}
2024-10-16 11:34:36,540:INFO:Inserted row: {'image_file': 'photo_2024-10-16_09-49-53.jpg', 'label': 'logo', 'bbox_x_min': 38, 'bbox_y_min': 15, 'bbox_width': 265, 'bbox_height': 173, 'image_width': 1080, 'image_height': 1080}
2024-10-16 11:34:36,540:INFO:Inserted row: {'image_file': 'photo_2024-10-16_09-49-56 (1).jpg', 'label': 'food', 'bbox_x_min': 117, 'bbox_y_min': 6, 'bbox_width': 963, 'bbox_height': 674, 'image_width': 1200, 'image_height': 1200}
2024-10-16 11:34:36,540:INFO:Inserted row: {'image_file': 'photo_2024-10-16_09-49-56.jpg', 'label': 'food', 'bbox_x_min': 184, 'bbox_y_min': 8, 'bbox_width': 1181, 'bbox_height': 688, 'image_width': 1864, 'image_height': 1864}
2024-10-16 11:34:36,541:INFO:Inserted row: {'image_file': 'photo_2024-10-16_09-49-53 (3).jpg', 'label': 'logo', 'bbox_x_min': 349, 'bbox_y_min': 354, 'bbox_width': 418, 'bbox_height': 290, 'image_width': 1080, 'image_height': 1080}
2024-10-16 11:34:36,541:INFO:Inserted row: {'image_file': 'photo_2024-10-16_09-49-55.jpg', 'label': 'food', 'bbox_x_min': 77, 'bbox_y_min': 0, 'bbox_width': 291, 'bbox_height': 447, 'image_width': 450, 'image_height': 450}
2024-10-16 11:34:36,541:INFO:Inserted row: {'image_file': 'photo_2024-10-16_09-49-59.jpg', 'label': 'food', 'bbox_x_min': 78, 'bbox_y_min': 9, 'bbox_width': 951, 'bbox_height': 687, 'image_width': 1100, 'image_height': 1100}
2024-10-16 11:34:36,544:INFO:Successfully inserted 23 records into the database.
